x:-252.20,y:-471.40,z:-111.60,t:293641
x:343.40,y:523.00,z:-250.40,t:293645
x:-255.20,y:-166.20,z:299.80,t:293648
x:-86.20,y:-682.60,z:-61.20,t:293652
x:539.40,y:653.20,z:-202.00,t:293656
x:-674.40,y:-500.00,z:490.20,t:293660
x:634.60,y:36.40,z:-345.80,t:293664
x:-155.40,y:441.20,z:88.00,t:293668
x:-400.80,y:-828.20,z:125.80,t:293672
x:523.00,y:394.40,z:-440.00,t:293677
x:-396.60,y:14.00,z:242.00,t:293681
x:-147.40,y:-488.00,z:-38.80,t:293685
x:376.00,y:997.80,z:-460.20,t:293689
x:-371.80,y:-339.00,z:262.40,t:293692
x:177.80,y:116.20,z:-356.60,t:293696
x:-90.20,y:778.00,z:160.80,t:293700
x:-388.00,y:-716.80,z:4.40,t:293704
x:248.60,y:139.60,z:-340.20,t:293708
x:-115.60,y:21.20,z:443.00,t:293712
x:-143.00,y:-525.00,z:-71.40,t:293716
x:348.40,y:428.40,z:-174.60,t:293721
x:-453.00,y:-4.00,z:69.00,t:293724
x:223.80,y:-168.20,z:-321.20,t:293728
x:301.80,y:443.80,z:-5.80,t:293732
x:-419.40,y:-252.00,z:413.00,t:293736
x:201.20,y:83.40,z:-523.80,t:293740
x:178.40,y:436.80,z:98.20,t:293744
x:-478.00,y:-860.80,z:444.00,t:293748
x:411.40,y:181.80,z:-559.80,t:293752
x:-182.80,y:238.40,z:610.20,t:293756
x:-237.80,y:-519.00,z:0.00,t:293761
x:466.80,y:230.00,z:-384.60,t:293764
x:-284.40,y:-143.00,z:438.60,t:293768
x:-41.60,y:-303.60,z:-257.80,t:293772
x:368.20,y:533.40,z:-229.80,t:293776
x:-434.60,y:-540.20,z:423.60,t:293780
x:16.20,y:-514.20,z:-337.80,t:293784
x:189.80,y:543.60,z:168.00,t:293788
x:-240.40,y:-350.40,z:223.40,t:293792
x:-35.60,y:52.40,z:-459.40,t:293796
x:-222.80,y:700.40,z:215.00,t:293800
x:-402.80,y:-325.20,z:35.00,t:293805
x:985.40,y:485.00,z:-293.20,t:293809
x:243.80,y:356.80,z:262.00,t:293812
x:-463.40,y:-616.40,z:-83.00,t:293816
x:-118.20,y:909.40,z:-710.20,t:293820
x:-690.60,y:406.80,z:344.20,t:293824
x:317.20,y:-11.20,z:-546.40,t:293828
x:628.20,y:504.60,z:219.80,t:293832
x:-230.20,y:-521.80,z:246.60,t:293836
x:106.20,y:-327.80,z:-339.60,t:293840
x:-47.20,y:144.20,z:336.40,t:293844
x:-232.80,y:-309.00,z:170.40,t:293849
x:537.80,y:200.40,z:-220.80,t:293853
x:-70.20,y:532.80,z:17.80,t:293857
x:-293.40,y:-640.20,z:105.20,t:293860
x:209.00,y:485.60,z:-250.80,t:293864
x:-560.20,y:175.40,z:286.40,t:293868
x:79.20,y:-488.40,z:-8.00,t:293872
x:506.00,y:430.20,z:-169.20,t:293876
x:-365.40,y:-445.40,z:352.60,t:293880
x:48.60,y:-327.80,z:-273.80,t:293884
x:103.20,y:675.80,z:48.60,t:293889
