x:1.60,y:-7.20,z:145.40,t:35798
x:338.40,y:-414.00,z:764.20,t:35802
x:317.60,y:-65.00,z:320.20,t:35806
x:63.60,y:27.20,z:164.00,t:35810
x:-214.40,y:6.40,z:-194.20,t:35813
x:-252.60,y:264.20,z:-613.20,t:35817
x:25.00,y:168.20,z:-750.60,t:35821
x:213.20,y:-51.00,z:-592.40,t:35825
x:-115.40,y:-96.40,z:-343.20,t:35829
x:-379.40,y:197.80,z:-32.80,t:35833
x:-613.00,y:454.20,z:336.00,t:35836
x:-519.20,y:661.00,z:489.80,t:35841
x:-227.60,y:708.80,z:244.00,t:35845
x:301.00,y:398.40,z:-7.20,t:35849
x:829.40,y:-323.40,z:303.00,t:35853
x:687.00,y:-875.80,z:600.00,t:35857
x:130.60,y:-645.00,z:470.80,t:35861
x:-323.60,y:-19.40,z:42.40,t:35864
x:398.20,y:-684.40,z:656.00,t:35868
x:-4.20,y:-222.60,z:477.20,t:35872
x:-321.40,y:188.00,z:-209.80,t:35876
x:-462.20,y:168.20,z:-410.20,t:35880
x:-341.00,y:17.20,z:-567.40,t:35885
x:-140.80,y:100.60,z:-334.60,t:35889
x:75.40,y:208.20,z:-406.60,t:35892
x:154.20,y:124.20,z:84.40,t:35896
x:-84.60,y:219.40,z:369.40,t:35900
x:-388.40,y:579.60,z:540.40,t:35904
x:-396.20,y:821.40,z:206.60,t:35908
x:-226.60,y:593.40,z:164.40,t:35912
x:173.60,y:114.00,z:-149.40,t:35916
x:521.80,y:-129.80,z:-106.60,t:35920
x:757.20,y:-646.20,z:150.60,t:35924
x:186.20,y:-1151.60,z:482.60,t:35928
x:-360.60,y:-653.60,z:93.60,t:35932
x:-652.60,y:502.00,z:-422.80,t:35936
x:-723.00,y:1006.40,z:-670.80,t:35940
x:-180.60,y:917.20,z:-881.40,t:35944
x:225.40,y:590.40,z:-686.20,t:35948
x:368.80,y:-237.20,z:296.80,t:35952
x:80.00,y:-267.60,z:377.60,t:35956
x:311.20,y:-310.40,z:530.00,t:35960
x:140.60,y:-437.00,z:553.40,t:35963
x:33.80,y:-318.00,z:331.20,t:35968
x:-4.40,y:22.60,z:133.60,t:35972
x:215.80,y:-175.40,z:-131.60,t:35976
x:537.20,y:-439.80,z:-151.00,t:35980
x:462.00,y:-627.80,z:-125.60,t:35984
x:93.40,y:-608.60,z:-150.40,t:35988
x:-312.60,y:-503.00,z:-173.40,t:35992
x:-619.40,y:122.00,z:-217.80,t:35995
x:-677.20,y:903.40,z:-323.40,t:35999
x:-81.40,y:1123.00,z:-412.00,t:36003
x:480.60,y:521.40,z:-167.80,t:36007
x:708.60,y:-366.60,z:427.60,t:36012
x:629.80,y:-651.40,z:788.20,t:36016
x:190.20,y:-339.00,z:658.60,t:36020
x:-84.40,y:217.40,z:149.60,t:36024
x:-407.40,y:291.00,z:-475.00,t:36028
x:-495.00,y:-94.60,z:-512.00,t:36031
x:-340.80,y:-256.20,z:-483.20,t:36035
x:-141.00,y:-242.80,z:-473.00,t:36039
x:-73.20,y:-161.20,z:30.60,t:36043
x:240.00,y:-185.60,z:-595.80,t:36047
x:311.60,y:17.00,z:-775.60,t:36051
x:-12.60,y:261.60,z:-376.00,t:36056
