x:474.40,y:-454.00,z:513.00,t:51235
x:153.00,y:-1138.80,z:998.80,t:51239
x:-45.40,y:-492.40,z:671.40,t:51244
x:-406.20,y:161.60,z:-191.80,t:51248
x:-169.40,y:547.80,z:-924.20,t:51252
x:372.80,y:417.40,z:-751.60,t:51256
x:-7.80,y:-462.20,z:-61.00,t:51260
x:-515.20,y:-405.20,z:653.20,t:51264
x:-519.20,y:255.40,z:791.80,t:51267
x:-232.60,y:592.00,z:75.20,t:51271
x:524.20,y:281.20,z:-208.80,t:51275
x:633.60,y:-482.60,z:94.20,t:51279
x:-148.40,y:-939.60,z:334.40,t:51283
x:-562.00,y:-263.00,z:20.40,t:51288
x:-453.40,y:724.60,z:-594.80,t:51292
x:221.60,y:906.20,z:-698.20,t:51296
x:583.80,y:-66.80,z:184.80,t:51299
x:283.00,y:-1081.20,z:785.20,t:51303
x:-107.40,y:-559.00,z:684.20,t:51307
x:-476.60,y:2.00,z:194.20,t:51311
x:-29.80,y:653.40,z:-694.40,t:51315
x:507.20,y:410.80,z:-820.00,t:51319
x:209.40,y:-616.60,z:-219.00,t:51323
x:-488.60,y:-609.00,z:441.00,t:51328
x:-556.00,y:259.00,z:740.20,t:51331
x:-259.40,y:841.60,z:-80.20,t:51335
x:385.80,y:630.40,z:-419.80,t:51339
x:730.20,y:-452.80,z:251.00,t:51343
x:-35.80,y:-1007.40,z:515.20,t:51347
x:-591.40,y:-165.40,z:170.60,t:51351
x:-592.20,y:814.00,z:-806.60,t:51355
x:127.00,y:1173.60,z:-1166.80,t:51359
x:458.60,y:145.20,z:-197.80,t:51363
x:379.60,y:-852.20,z:753.00,t:51367
x:24.40,y:-721.80,z:882.20,t:51371
x:-353.40,y:-127.40,z:322.80,t:51375
x:-164.20,y:519.00,z:-698.20,t:51379
x:295.20,y:363.00,z:-792.80,t:51383
x:272.40,y:-292.00,z:-462.80,t:51387
x:-436.60,y:-336.80,z:25.60,t:51391
x:-602.40,y:138.60,z:636.40,t:51395
x:-467.60,y:509.00,z:501.40,t:51399
x:86.60,y:422.40,z:-30.60,t:51402
x:812.20,y:-19.40,z:-172.20,t:51406
x:418.20,y:497.40,z:-228.20,t:51410
x:671.60,y:-426.00,z:406.20,t:51415
x:-106.00,y:-886.80,z:607.80,t:51419
x:-633.20,y:-156.40,z:111.20,t:51423
x:-465.80,y:750.00,z:-741.40,t:51427
x:-4.40,y:972.20,z:-960.40,t:51431
x:373.00,y:428.60,z:-298.20,t:51434
x:480.60,y:-605.20,z:584.40,t:51438
x:-241.20,y:-861.20,z:924.00,t:51442
x:-302.20,y:41.00,z:414.60,t:51446
x:43.20,y:720.40,z:-453.00,t:51450
x:499.40,y:297.20,z:-633.60,t:51454
x:399.60,y:-565.00,z:-321.00,t:51459
x:-345.20,y:-818.40,z:182.60,t:51463
x:-497.80,y:-131.20,z:393.00,t:51467
x:-352.60,y:904.40,z:-21.60,t:51470
x:234.60,y:855.60,z:-394.00,t:51474
x:719.20,y:-160.80,z:295.60,t:51478
x:77.60,y:-986.40,z:715.20,t:51482
x:-564.20,y:-449.20,z:465.80,t:51486
x:-513.00,y:619.20,z:-403.00,t:51490
x:-181.80,y:1180.40,z:-1162.20,t:51494
x:225.40,y:752.20,z:-867.00,t:51499
x:586.60,y:-208.80,z:155.80,t:51503
x:-16.40,y:-1192.00,z:958.60,t:51507
