x:-221.20,y:113.40,z:34.40,t:83058
x:-256.40,y:-60.60,z:-292.00,t:83062
x:321.60,y:-239.00,z:60.00,t:83066
x:-130.00,y:-119.20,z:-332.80,t:83070
x:-17.60,y:-185.80,z:374.00,t:83074
x:-109.20,y:647.40,z:-437.60,t:83078
x:69.00,y:-393.00,z:345.60,t:83082
x:-259.20,y:129.60,z:92.80,t:83086
x:-127.80,y:-650.80,z:-148.40,t:83090
x:530.80,y:32.60,z:25.00,t:83094
x:-494.40,y:187.40,z:-301.40,t:83098
x:202.00,y:-145.80,z:371.80,t:83101
x:-38.80,y:493.40,z:-18.80,t:83105
x:-62.60,y:-440.60,z:-72.20,t:83109
x:421.80,y:181.80,z:77.00,t:83113
x:-623.00,y:306.40,z:-650.60,t:83118
x:447.20,y:96.40,z:518.00,t:83122
x:-578.20,y:342.20,z:-310.40,t:83125
x:432.40,y:-720.80,z:239.80,t:83129
x:123.60,y:144.80,z:28.20,t:83133
x:-572.60,y:-296.40,z:-330.00,t:83137
x:458.60,y:147.60,z:309.80,t:83141
x:-536.80,y:12.80,z:-420.40,t:83145
x:590.60,y:-41.20,z:279.00,t:83149
x:-239.00,y:-95.40,z:273.80,t:83152
x:570.40,y:37.60,z:76.20,t:83156
x:-261.40,y:53.40,z:334.20,t:83161
x:-41.20,y:-340.40,z:-140.20,t:83165
x:203.80,y:293.80,z:8.60,t:83169
x:-379.20,y:95.60,z:-263.80,t:83173
x:237.00,y:-24.80,z:-95.60,t:83176
x:312.60,y:19.60,z:264.60,t:83180
x:54.60,y:517.20,z:-413.20,t:83184
x:15.00,y:-249.80,z:454.20,t:83188
x:-433.20,y:294.80,z:-89.60,t:83192
x:59.20,y:-298.40,z:-50.40,t:83195
x:-425.80,y:155.80,z:79.80,t:83200
x:43.00,y:-439.20,z:-48.80,t:83204
x:515.00,y:94.20,z:7.40,t:83208
x:-344.20,y:374.00,z:-262.20,t:83212
x:26.60,y:-71.00,z:285.40,t:83215
x:-163.80,y:357.60,z:-61.60,t:83219
x:86.60,y:-559.20,z:-108.00,t:83223
x:312.80,y:287.20,z:52.00,t:83227
x:-523.80,y:-76.00,z:-395.80,t:83231
x:390.80,y:137.20,z:454.40,t:83235
x:-458.40,y:454.80,z:-226.40,t:83239
x:247.60,y:-409.00,z:13.40,t:83243
x:341.60,y:242.40,z:48.40,t:83247
x:189.20,y:-882.80,z:187.20,t:83251
x:317.20,y:133.20,z:70.20,t:83255
x:-546.00,y:-128.60,z:-384.40,t:83259
x:567.60,y:50.60,z:502.80,t:83263
