x:268.80,y:-1356.80,z:560.20,t:81143
x:224.00,y:46.20,z:-194.80,t:81147
x:247.60,y:1330.00,z:-825.00,t:81152
x:432.00,y:1390.60,z:-911.80,t:81156
x:519.80,y:1051.40,z:-253.40,t:81160
x:405.60,y:333.20,z:264.80,t:81164
x:7.60,y:-135.60,z:403.60,t:81167
x:-388.40,y:-524.00,z:335.60,t:81171
x:-725.60,y:-621.60,z:-14.80,t:81175
x:-799.80,y:-558.40,z:-316.60,t:81179
x:-701.60,y:-602.20,z:-46.60,t:81183
x:-313.00,y:-954.20,z:249.80,t:81187
x:262.20,y:-1190.20,z:555.40,t:81191
x:709.40,y:-911.60,z:504.20,t:81196
x:563.60,y:-355.80,z:350.00,t:81200
x:216.60,y:239.20,z:-19.20,t:81203
x:34.60,y:621.20,z:-257.40,t:81207
x:-170.40,y:1254.60,z:-1088.20,t:81211
x:-466.00,y:1180.80,z:-1379.80,t:81215
x:-336.20,y:670.40,z:-613.80,t:81219
x:-407.20,y:-147.60,z:584.40,t:81223
x:-241.20,y:-465.80,z:886.40,t:81227
x:-126.80,y:-1107.40,z:831.80,t:81231
x:-70.80,y:-1816.60,z:981.20,t:81235
x:-65.60,y:-1841.00,z:748.80,t:81240
x:-99.80,y:-629.80,z:323.60,t:81244
x:314.60,y:1206.60,z:-495.40,t:81248
x:435.00,y:1980.00,z:-1182.20,t:81252
x:475.20,y:1461.60,z:-760.80,t:81256
x:453.80,y:809.40,z:71.40,t:81259
x:408.20,y:405.20,z:298.60,t:81263
x:128.80,y:526.80,z:42.80,t:81267
x:-224.20,y:175.80,z:-123.80,t:81271
x:-774.60,y:-146.40,z:-178.80,t:81275
x:-580.40,y:-452.00,z:94.80,t:81280
x:-234.40,y:-1005.00,z:555.00,t:81284
x:-24.00,y:-1510.80,z:598.20,t:81288
x:280.20,y:-1761.40,z:653.80,t:81292
x:655.80,y:-1008.60,z:475.00,t:81296
x:665.80,y:-383.00,z:401.00,t:81300
x:-226.40,y:486.00,z:-154.20,t:81303
x:-632.20,y:1142.80,z:-1420.80,t:81307
x:-345.60,y:1511.80,z:-1559.80,t:81311
x:-80.40,y:1159.80,z:-1234.20,t:81315
x:21.20,y:2169.40,z:-1692.80,t:81319
x:386.60,y:2244.60,z:-1567.80,t:81324
x:130.80,y:1111.20,z:-426.20,t:81328
x:37.00,y:32.00,z:508.40,t:81332
x:-288.80,y:-883.00,z:817.60,t:81336
x:-383.60,y:-1821.00,z:805.00,t:81340
x:-473.20,y:-1870.80,z:400.60,t:81344
x:-421.40,y:-1106.00,z:62.40,t:81348
x:-421.20,y:-291.40,z:-107.40,t:81352
x:-127.00,y:-379.40,z:67.00,t:81356
x:606.80,y:-79.60,z:200.40,t:81360
x:949.00,y:542.00,z:235.00,t:81363
x:347.80,y:1229.80,z:-185.00,t:81368
x:-253.00,y:1361.20,z:-818.40,t:81372
x:-249.00,y:1194.80,z:-1207.20,t:81376
x:-225.60,y:1177.00,z:-971.80,t:81380
x:-386.80,y:491.80,z:-90.40,t:81384
x:-516.60,y:-416.00,z:780.20,t:81388
x:-236.00,y:-1107.40,z:1014.80,t:81392
x:292.00,y:-1294.20,z:735.20,t:81396
x:518.80,y:-1011.60,z:665.60,t:81400
x:297.20,y:-951.60,z:527.60,t:81404
x:32.40,y:-640.80,z:207.60,t:81409
x:172.40,y:773.20,z:-455.00,t:81413
x:312.00,y:2025.00,z:-1366.40,t:81417
x:877.80,y:2050.40,z:-1389.20,t:81421
x:483.00,y:1003.00,z:-761.00,t:81425
x:628.80,y:1612.40,z:-831.60,t:81429
x:494.00,y:1133.40,z:-164.00,t:81433
x:294.60,y:448.80,z:334.80,t:81436
x:259.80,y:197.00,z:270.00,t:81440
x:-336.80,y:11.20,z:12.60,t:81444
x:-956.40,y:-106.60,z:-285.60,t:81448
x:-702.60,y:-291.80,z:-287.60,t:81453
x:-354.80,y:-814.00,z:459.20,t:81457
x:-98.00,y:-1246.00,z:499.20,t:81461
x:342.40,y:-1439.00,z:807.80,t:81465
x:730.00,y:-1017.40,z:434.00,t:81469
x:560.40,y:-375.40,z:235.60,t:81473
x:309.80,y:149.20,z:-12.80,t:81476
x:-75.80,y:910.20,z:-572.00,t:81480
x:-186.00,y:1321.20,z:-1254.00,t:81484
x:-74.40,y:1448.80,z:-1274.80,t:81488
x:-486.40,y:866.80,z:-484.60,t:81492
x:-334.00,y:-235.20,z:562.60,t:81497
x:-472.20,y:-931.40,z:885.00,t:81501
x:-264.40,y:-1373.00,z:805.00,t:81505
x:-518.60,y:-1448.40,z:495.80,t:81509
x:-349.80,y:-888.60,z:228.40,t:81513
x:-62.80,y:236.20,z:-156.60,t:81517
x:121.60,y:843.00,z:-601.60,t:81521
x:376.20,y:816.80,z:-284.80,t:81524
x:852.20,y:660.20,z:47.00,t:81528
x:793.40,y:586.20,z:199.80,t:81532
x:396.40,y:797.00,z:-206.20,t:81537
x:-202.40,y:844.20,z:-545.00,t:81541
x:-447.40,y:803.60,z:-695.40,t:81545
x:-413.20,y:402.40,z:-167.80,t:81549
x:-430.60,y:-222.00,z:562.40,t:81553
x:-433.40,y:-1045.40,z:1056.00,t:81557
x:68.80,y:-1506.80,z:879.40,t:81561
x:614.40,y:-1263.80,z:634.60,t:81565
x:666.80,y:-850.00,z:366.20,t:81568
x:272.20,y:-506.40,z:219.60,t:81572
x:223.80,y:17.20,z:-207.20,t:81576
x:318.00,y:927.40,z:-789.20,t:81581
x:366.20,y:2020.80,z:-1309.40,t:81585
x:141.00,y:1393.60,z:-748.00,t:81589
x:-63.20,y:531.60,z:146.20,t:81593
x:-203.40,y:-520.60,z:606.60,t:81597
x:-430.60,y:-1596.60,z:640.40,t:81601
x:-286.00,y:-1822.20,z:472.40,t:81605
x:-290.40,y:-1005.00,z:50.40,t:81609
x:-404.80,y:-484.00,z:19.40,t:81613
x:-165.40,y:-357.80,z:44.40,t:81616
