x:22.00,y:-35.00,z:-55.00,t:5807
x:37.00,y:-27.00,z:-33.00,t:5812
x:-74.00,y:-13.00,z:63.00,t:5816
x:-6.00,y:-60.00,z:56.00,t:5821
x:17.00,y:-37.00,z:-78.00,t:5825
x:-85.00,y:-19.00,z:-11.00,t:5830
x:19.00,y:-73.00,z:76.00,t:5834
x:71.00,y:-56.00,z:49.00,t:5839
x:80.00,y:99.00,z:-95.00,t:5843
x:-1.00,y:-14.00,z:42.00,t:5849
x:-5.00,y:-33.00,z:45.00,t:5853
x:-69.00,y:70.00,z:-79.00,t:5858
x:26.00,y:60.00,z:-46.00,t:5862
x:76.00,y:-10.00,z:2.00,t:5867
x:80.00,y:-119.00,z:22.00,t:5871
x:20.00,y:41.00,z:2.00,t:5876
x:-3.00,y:92.00,z:-31.00,t:5880
x:-10.00,y:-71.00,z:-30.00,t:5884
x:-57.00,y:63.00,z:82.00,t:5890
x:50.00,y:-24.00,z:22.00,t:5894
x:26.00,y:-105.00,z:-55.00,t:5899
x:-31.00,y:-75.00,z:23.00,t:5903
x:28.00,y:-79.00,z:-66.00,t:5908
x:-38.00,y:-6.00,z:-9.00,t:5912
x:-22.00,y:40.00,z:10.00,t:5917
x:63.00,y:-46.00,z:47.00,t:5921
x:72.00,y:18.00,z:-57.00,t:5926
x:-74.00,y:69.00,z:43.00,t:5931
x:11.00,y:-51.00,z:-40.00,t:5936
x:69.00,y:8.00,z:-139.00,t:5940
x:92.00,y:78.00,z:-84.00,t:5945
x:-2.00,y:-28.00,z:56.00,t:5949
x:5.00,y:-38.00,z:-60.00,t:5954
x:-22.00,y:53.00,z:-167.00,t:5958
x:12.00,y:-86.00,z:-23.00,t:5963
x:-33.00,y:10.00,z:45.00,t:5967
x:-69.00,y:21.00,z:59.00,t:5972
x:51.00,y:-11.00,z:25.00,t:5977
x:-1.00,y:13.00,z:75.00,t:5982
x:-32.00,y:39.00,z:93.00,t:5986
x:54.00,y:-59.00,z:1.00,t:5991
x:4.00,y:-35.00,z:11.00,t:5995
x:-25.00,y:22.00,z:-53.00,t:5999
x:-9.00,y:-129.00,z:27.00,t:6004
x:50.00,y:0.00,z:61.00,t:6008
x:-81.00,y:134.00,z:12.00,t:6013
x:12.00,y:1.00,z:-37.00,t:6018
x:116.00,y:22.00,z:-67.00,t:6023
x:15.00,y:79.00,z:-33.00,t:6027
x:-26.00,y:141.00,z:43.00,t:6032
x:47.00,y:-109.00,z:42.00,t:6036
x:-14.00,y:209.00,z:-13.00,t:6041
x:11.00,y:125.00,z:-68.00,t:6046
x:42.00,y:-110.00,z:13.00,t:6050
x:-126.00,y:227.00,z:-99.00,t:6055
x:-56.00,y:20.00,z:-5.00,t:6060
x:60.00,y:-84.00,z:59.00,t:6065
x:25.00,y:-76.00,z:63.00,t:6069
x:6.00,y:53.00,z:-56.00,t:6074
x:64.00,y:-57.00,z:9.00,t:6078
x:-74.00,y:-49.00,z:28.00,t:6082
x:-10.00,y:-24.00,z:-47.00,t:6087
x:80.00,y:-89.00,z:-38.00,t:6091
x:64.00,y:-34.00,z:56.00,t:6096
x:6.00,y:46.00,z:-41.00,t:6100
x:-22.00,y:-1.00,z:-134.00,t:6106
x:-27.00,y:85.00,z:-78.00,t:6110
x:59.00,y:-29.00,z:68.00,t:6115
x:74.00,y:-36.00,z:83.00,t:6119
x:69.00,y:4.00,z:-5.00,t:6124
