x:-48.40,y:-135.00,z:-12.00,t:98635
x:-61.40,y:-90.00,z:-10.60,t:98639
x:8.60,y:24.00,z:86.40,t:98642
x:34.60,y:89.20,z:10.40,t:98647
x:8.20,y:10.80,z:-45.40,t:98651
x:-21.20,y:-53.80,z:-45.20,t:98654
x:-44.60,y:-101.20,z:6.40,t:98658
x:9.60,y:-5.40,z:75.80,t:98662
x:18.00,y:127.80,z:2.60,t:98665
x:1.00,y:62.60,z:-56.40,t:98669
x:-17.20,y:-35.60,z:-59.20,t:98673
:.80,z:-9.40,t:103905
x:-62.60,y:-112.00,z:21.80,t:103909
x:65.40,y:73.60,z:-14.20,t:103913
x:48.40,y:32.20,z:-13.00,t:103917
x:-38.80,y:-9.00,z:-33.80,t:103920
x:-58.00,y:-123.20,z:74.00,t:103924
x:30.80,y:138.80,z:-7.40,t:103928
x:36.40,y:88.40,z:-58.60,t:103932
x:-63.40,y:-85.00,z:10.20,t:103936
x:-31.60,y:-163.40,z:71.80,t:103940
x:59.80,y:102.80,z:19.80,t:103944
x:45.80,y:128.00,z:-10.60,t:103948
x:-58.40,y:-65.20,z:26.60,t:103951
x:-43.00,y:-176.00,z:53.40,t:103955
x:52.80,y:96.60,z:-5.00,t:103959
x:29.40,y:114.00,z:-24.20,t:103963
x:-79.80,y:-110.60,z:13.20,t:103967
x:-19.40,y:-169.00,z:56.40,t:103970
x:54.20,y:79.60,z:-12.20,t:103974
x:46.00,y:68.00,z:21.00,t:103979
x:-97.00,y:0.00,z:18.20,t:103982
x:-64.40,y:-103.00,z:-3.20,t:103986
x:84.60,y:61.20,z:-34.80,t:103990
x:44.80,y:44.60,z:40.00,t:103994
x:-113.80,y:-72.60,z:30.20,t:103998
x:-79.60,y:-67.80,z:-43.60,t:104001
x:84.00,y:52.40,z:-64.80,t:104005
x:104.60,y:31.60,z:65.80,t:104009
x:-112.20,y:41.80,z:-3.80,t:104013
x:-84.00,y:-81.80,z:17.40,t:104016
x:96.40,y:51.20,z:-34.40,t:104020
x:91.20,y:2.60,z:49.40,t:104025
x:-95.40,y:101.00,z:-13.20,t:104029
x:-113.00,y:-61.00,z:24.80,t:104032
x:66.00,y:28.20,z:-60.40,t:104036
x:116.60,y:-26.60,z:43.00,t:104040
x:-87.40,y:29.80,z:10.20,t:104044
x:-87.00,y:-78.60,z:12.20,t:104047
x:78.80,y:49.20,z:-24.80,t:104051
x:127.00,y:-13.00,z:42.80,t:104055
x:-73.40,y:77.40,z:-11.80,t:104059
x:-105.40,y:-54.20,z:36.00,t:104064
x:62.20,y:73.80,z:-70.00,t:104067
x:88.20,y:-40.00,z:21.40,t:104071
x:-103.60,y:-27.80,z:14.60,t:104075
x:-73.60,y:-79.40,z:23.80,t:104079
x:84.40,y:66.60,z:-38.60,t:104082
x:75.60,y:-6.20,z:32.80,t:104086
x:-64.80,y:6.60,z:24.00,t:104090
x:-51.40,y:-132.60,z:35.00,t:104093
x:65.80,y:82.40,z:-14.80,t:104097
x:43.60,y:38.40,z:-10.20,t:104101
x:-67.40,y:-122.20,z:6.00,t:104105
x:-65.80,y:-119.40,z:49.20,t:104110
x:52.80,y:105.40,z:-9.80,t:104113
x:57.20,y:38.20,z:-29.40,t:104117
x:-67.40,y:-126.80,z:2.00,t:104121
x:-30.00,y:-151.40,z:53.20,t:104125
x:66.80,y:54.40,z:27.20,t:104128
x:17.00,y:69.00,z:-7.20,t:104132
x:-52.40,y:-125.20,z:5.00,t:104136
x:-18.60,y:-197.60,z:65.20,t:104140
x:63.20,y:79.40,z:23.60,t:104143
x:6.00,y:107.20,z:-25.40,t:104147
x:-59.40,y:-166.20,z:7.40,t:104152
x:1.00,y:-194.40,z:44.60,t:104156
x:70.80,y:135.60,z:-1.40,t:104159
x:30.00,y:108.00,z:-4.40,t:104163
x:-84.40,y:-114.60,z:9.60,t:104167
x:-21.80,y:-177.20,z:22.40,t:104171
x:84.40,y:63.00,z:2.00,t:104174
x:8.00,y:127.00,z:0.80,t:104178
x:-88.40,y:9.20,z:6.40,t:104182
x:-61.80,y:-126.60,z:14.00,t:104185
x:83.00,y:78.20,z:-44.60,t:104189
x:57.40,y:78.20,z:37.80,t:104194
x:-109.40,y:-40.40,z:4.80,t:104198
x:-60.00,y:-108.60,z:17.40,t:104201
x:105.20,y:61.80,z:-36.80,t:104205
x:113.60,y:17.60,z:51.20,t:104209
x:-100.20,y:74.00,z:19.80,t:104213
x:-97.40,y:-82.80,z:0.80,t:104217
x:91.60,y:24.60,z:-44.00,t:104220
x:100.20,y:-19.00,z:55.60,t:104224
x:-106.40,y:-10.00,z:-7.40,t:104228
x:-74.20,y:-69.00,z:3.80,t:104232
x:49.00,y:51.20,z:-69.80,t:104236
x:123.60,y:-20.20,z:50.80,t:104240
x:-94.80,y:54.60,z:-23.00,t:104244
x:-103.60,y:-41.40,z:14.60,t:104248
x:73.60,y:55.20,z:-42.20,t:104251
x:91.40,y:-28.00,z:8.00,t:104255
x:-102.80,y:-20.60,z:10.00,t:104259
x:-102.20,y:-67.00,z:12.60,t:104263
x:45.80,y:56.40,z:-69.00,t:104266
x:94.20,y:-18.80,z:35.80,t:104270
x:-85.00,y:-3.00,z:3.20,t:104274
x:-81.80,y:-92.40,z:25.60,t:104279
x:71.40,y:66.80,z:-36.80,t:104282
x:95.00,y:-3.60,z:18.40,t:104286
x:-68.40,y:26.00,z:13.20,t:104290
x:-75.80,y:-106.20,z:44.00,t:104294
x:49.80,y:73.60,z:-46.60,t:104297
x:43.40,y:2.80,z:-2.80,t:104301
x:-58.20,y:-55.60,z:25.40,t:104305
x:-63.60,y:-114.40,z:10.00,t:104308
x:43.20,y:101.00,z:-7.00,t:104312
x:68.00,y:38.00,z:-3.00,t:104316
x:-57.20,y:-95.40,z:-11.40,t:104321
x:-43.40,y:-175.60,z:57.00,t:104324
x:44.60,y:85.80,z:13.40,t:104328
x:46.00,y:85.40,z:-36.60,t:104332
x:-56.40,y:-64.00,z:-6.20,t:104336
x:-42.00,y:-151.80,z:65.80,t:104339
x:57.20,y:93.20,z:1.20,t:104343
x:32.60,y:100.80,z:-23.40,t:104347
x:-63.80,y:-141.00,z:20.40,t:104351
x:-33.40,y:-195.40,z:26.80,t:104355
x:63.60,y:81.60,z:26.20,t:104358
x:41.40,y:142.20,z:-23.60,t:104363
x:-67.20,y:-64.20,z:-7.60,t:104367
x:-39.00,y:-160.60,z:56.60,t:104371
x:60.40,y:103.80,z:-17.00,t:104374
x:29.60,y:103.20,z:6.00,t:104378
x:-88.60,y:-104.40,z:-8.60,t:104382
x:-33.00,y:-118.80,z:30.80,t:104386
x:75.20,y:64.00,z:2.20,t:104389
x:57.00,y:37.20,z:23.60,t:104393
x:-100.80,y:41.00,z:-1.40,t:104397
x:-57.40,y:-53.40,z:0.40,t:104401
x:99.40,y:62.40,z:-34.40,t:104404
x:65.80,y:50.20,z:58.40,t:104409
x:-87.80,y:129.40,z:-5.80,t:104413
x:-106.60,y:-38.20,z:-24.00,t:104417
x:74.40,y:47.00,z:-44.60,t:104420
x:114.00,y:-16.80,z:41.00,t:104424
x:-111.40,y:40.20,z:-3.60,t:104428
x:-86.60,y:-59.00,z:2.60,t:104432
x:83.60,y:37.80,z:-36.20,t:104435
x:129.00,y:-44.60,z:49.60,t:104439
x:-88.20,y:78.20,z:-36.20,t:104443
x:-126.00,y:-54.80,z:-4.40,t:104448
x:58.00,y:56.40,z:-21.00,t:104451
x:117.20,y:-25.20,z:37.40,t:104455
x:-97.00,y:22.40,z:-13.60,t:104459
x:-91.00,y:-62.40,z:30.40,t:104463
x:36.80,y:56.80,z:-73.20,t:104467
x:119.20,y:-28.00,z:25.80,t:104470
x:-70.40,y:71.00,z:19.00,t:104474
x:-91.40,y:-65.80,z:10.60,t:104478
x:66.60,y:57.80,z:-81.80,t:104482
x:89.40,y:-10.00,z:19.60,t:104485
x:-84.40,y:5.60,z:24.80,t:104489
