x:635.00,y:1694.00,z:-638.40,t:28804
x:-624.00,y:333.00,z:350.20,t:28808
x:-844.20,y:-1329.40,z:754.00,t:28812
x:118.40,y:-819.60,z:117.00,t:28816
x:390.20,y:519.20,z:23.00,t:28820
x:-51.80,y:897.00,z:-138.80,t:28824
x:-270.00,y:903.20,z:-877.40,t:28827
x:-226.80,y:209.60,z:-353.20,t:28831
x:660.60,y:-547.00,z:246.40,t:28835
x:766.80,y:-537.20,z:645.80,t:28839
x:-10.80,y:-176.80,z:437.40,t:28844
x:-794.60,y:-280.00,z:-211.20,t:28848
x:-515.20,y:-35.40,z:-779.20,t:28852
x:410.40,y:135.80,z:50.60,t:28856
x:661.60,y:280.60,z:641.80,t:28859
x:-205.40,y:-259.80,z:226.00,t:28863
x:-28.20,y:30.00,z:-321.20,t:28867
x:159.00,y:353.40,z:-547.40,t:28871
x:-528.40,y:426.20,z:110.40,t:28875
x:-1379.40,y:-1284.40,z:489.60,t:28879
x:-108.80,y:-764.00,z:494.40,t:28883
x:1485.00,y:1931.60,z:-1118.00,t:28888
x:44.20,y:1364.60,z:-372.00,t:28892
x:-655.60,y:-53.40,z:363.00,t:28896
x:-139.80,y:-1003.00,z:650.80,t:28900
x:61.60,y:-636.20,z:105.40,t:28903
x:236.80,y:-416.20,z:513.20,t:28907
x:-331.40,y:494.00,z:-115.20,t:28911
x:-998.80,y:610.60,z:-1054.20,t:28915
x:-493.60,y:107.40,z:-417.60,t:28919
x:688.80,y:-331.80,z:344.40,t:28923
x:817.80,y:132.40,z:682.60,t:28928
x:-329.60,y:231.20,z:192.40,t:28932
x:-919.80,y:-101.00,z:-559.40,t:28936
x:80.00,y:-117.00,z:-375.00,t:28940
x:707.80,y:153.80,z:427.00,t:28943
x:167.60,y:12.00,z:539.00,t:28947
x:-232.60,y:-582.40,z:113.20,t:28951
x:617.80,y:775.60,z:-766.20,t:28955
x:65.20,y:880.20,z:-272.60,t:28959
x:-1207.40,y:-402.80,z:557.80,t:28963
x:-861.60,y:-2583.80,z:743.00,t:28967
x:1270.00,y:-309.20,z:-214.00,t:28972
x:721.20,y:1678.40,z:-629.80,t:28976
x:-194.80,y:547.80,z:-129.20,t:28980
x:-155.80,y:-373.80,z:300.80,t:28984
x:-267.60,y:-652.40,z:122.60,t:28987
x:287.20,y:-962.80,z:687.60,t:28991
x:111.40,y:-179.00,z:337.80,t:28995
x:-712.20,y:422.00,z:-93.00,t:28999
x:-729.20,y:-72.40,z:-702.60,t:29003
