-x:-43.20,y:-46.20,z:-14.80,t:19013
x:-52.60,y:137.20,z:-12.40,t:25824

x:61.20,y:-10.80,z:-10.60,t:25828

x:-97.60,y:-75.20,z:2.00,t:25831

x:-24.00,y:153.20,z:3.60,t:25835

x:71.00,y:-34.80,z:-57.40,t:25839

x:-57.20,y:-88.60,z:31.80,t:25842

x:130.20,y:57.80,z:83.00,t:25846

x:-19.80,y:-151.60,z:-15.80,t:25850

x:-29.00,y:213.80,z:23.40,t:25854

x:133.40,y:117.80,z:10.60,t:25859

x:-180.40,y:-378.20,z:-32.20,t:25862

x:-21.20,y:203.20,z:-45.80,t:25866

x:76.60,y:35.40,z:-84.20,t:25870

x:-79.20,y:66.60,z:-39.20,t:25874

x:151.60,y:126.40,z:13.80,t:25877

x:-104.00,y:-346.60,z:70.00,t:25881

x:9.20,y:187.80,z:37.80,t:25885

x:222.80,y:156.40,z:-4.00,t:25889

x:-146.40,y:-105.20,z:-60.80,t:25893

x:66.60,y:147.60,z:58.60,t:25896

x:81.80,y:-202.60,z:-7.60,t:25901

x:-187.40,y:148.60,z:-63.20,t:25905

x:121.00,y:114.80,z:-28.80,t:25909

x:-95.60,y:-260.20,z:-6.80,t:25912

x:-5.20,y:113.00,z:16.80,t:25916

x:121.40,y:37.00,z:-17.00,t:25920

x:-76.00,y:-0.40,z:-55.60,t:25923

x:97.60,y:188.00,z:69.80,t:25927

x:45.20,y:-202.20,z:96.60,t:25931

x:-164.40,y:107.00,z:-51.20,t:25935

x:40.00,y:84.40,z:-46.60,t:25939

x:-19.60,y:-291.00,z:-4.60,t:25943

x:-138.00,y:16.00,z:-38.40,t:25947

x:49.80,y:-141.00,z:118.00,t:25951

x:-41.00,y:86.80,z:-57.00,t:25955

x:39.00,y:276.20,z:-31.60,t:25958

x:48.40,y:-211.40,z:66.40,t:25962

x:-71.80,y:8.20,z:9.80,t:25966

x:-3.00,y:64.60,z:6.60,t:25969

x:7.20,y:-44.00,z:-53.40,t:25973

x:-43.80,y:114.80,z:-70.20,t:25977

x:-62.00,y:-136.60,z:21.00,t:25980

x:11.80,y:6.40,z:-47.60,t:25985

x:2.80,y:93.00,z:14.60,t:25989

x:62.20,y:-70.60,z:130.60,t:25992

x:-25.80,y:-15.00,z:-67.80,t:25996

x:-16.20,y:46.20,z:21.60,t:26000

x:8.00,y:15.80,z:16.20,t:26004

x:-44.60,y:-22.20,z:-76.80,t:26007

x:-49.20,y:-12.60,z:-19.80,t:26011

x:45.20,y:-24.20,z:11.60,t:26015

x:-32.40,y:15.60,z:-54.80,t:26018

x:5.80,y:93.20,z:41.60,t:26022

x:81.40,y:-3.40,z:-37.60,t:26027

x:-65.20,y:-152.00,z:54.80,t:26030

x:53.40,y:62.80,z:39.40,t:26034

x:63.80,y:-6.40,z:-33.20,t:26038

x:-33.20,y:13.20,z:59.00,t:26041

x:75.00,y:61.40,z:26.80,t:26045

x:-132.40,y:-273.20,z:-40.40,t:26049

x:-36.40,y:169.60,z:-24.40,t:26053

x:67.20,y:147.20,z:-68.40,t:26057

x:-184.80,y:-332.40,z:-15.40,t:26060

x:-7.20,y:183.40,z:-19.00,t:26064

x:43.80,y:-99.20,z:-33.40,t:26068

x:-18.80,y:178.60,z:63.40,t:26073

x:186.20,y:130.40,z:13.20,t:26076

x:-215.20,y:-245.20,z:-23.00,t:26080

x:10.40,y:119.40,z:39.00,t:26084

x:160.40,y:37.00,z:-10.00,t:26088

x:-219.60,y:2.20,z:-104.80,t:26091

x:73.80,y:79.60,z:58.40,t:26095

x:-9.00,y:-314.60,z:-14.80,t:26099

x:-137.40,y:138.60,z:-19.40,t:26103

x:193.40,y:30.20,z:16.00,t:26106

x:-114.40,y:-278.00,z:13.40,t:26110

x:-40.60,y:143.20,z:2.20,t:26115

x:156.60,y:-12.80,z:5.40,t:26119

x:-125.60,y:109.80,z:-52.80,t:26123

x:130.80,y:159.60,z:36.20,t:26126

x:-49.40,y:-376.40,z:3.60,t:26130

x:-150.80,y:104.20,z:-24.00,t:26134

x:126.40,y:52.80,z:-24.20,t:26138

x:-48.00,y:-230.40,z:-26.20,t:26141

